"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
8722.41989968416,8.48039344946567,0.428949430578181,19.7701473528825,5.38185528032812e-87,9.11847740145994e-83,"Clca4b"
565.288889143564,-4.63263535313059,0.25105704131203,-18.45252110405,4.97682193734341e-76,4.21611470422047e-72,"Gm1123"
1602.95830252714,6.11869093174515,0.336948055923151,18.1591519054221,1.08690792718567e-73,6.13849367010225e-70,"Slpi"
3583.21060848702,7.20197211922582,0.430110334608773,16.744475869841,6.21353302278441e-63,2.63189725012591e-59,"Lrg1"
11619.5055220643,-1.96460036161605,0.141566770820537,-13.877552975384,8.6652005895919e-44,2.93628987178911e-40,"Tspan1"
13888.5830158496,-8.5257196346309,0.621959635303332,-13.7078343202656,9.11376966813232e-43,2.57357665811943e-39,"Mptx1"
1622.9232742709,3.67091501604731,0.268213157894883,13.686558276481,1.22159899899815e-42,2.95679312000367e-39,"Marcksl1"
2463.6625134328,14.8800283967407,1.11092544567296,13.3942637237253,6.53205928901974e-41,1.38340850667327e-37,"S100a9"
706.785898920643,-4.50683086740113,0.337751508033308,-13.3436291480797,1.29022203813175e-40,2.42891466578513e-37,"Shisa2"
3522.38823668741,9.65169094734298,0.736992128134469,13.096057039,3.46812139486614e-39,5.8760380793217e-36,"Saa3"
1289.42687512076,-3.50393615746932,0.271822592537391,-12.8905258564456,5.08955813218497e-38,7.83930758487363e-35,"Scin"
2368.99215909307,-3.67695158746518,0.290556859495443,-12.6548435092886,1.05184956993454e-36,1.48512393861675e-33,"Fbxo32"
2087.48352867175,13.9195152750244,1.10669232402653,12.5775836452722,2.80478332835811e-36,3.65549568710549e-33,"S100a8"
366.821456216149,3.16434645332989,0.256138368437567,12.3540509476666,4.63190101929911e-35,5.60559278357034e-32,"Dok3"
932.76593196584,-5.21387615515053,0.425605385272712,-12.2504938507996,1.66976003986769e-34,1.88604962369855e-31,"Tppp"
1611.67451005904,8.31980116497931,0.691549998823998,12.030657478313,2.45200294216367e-33,2.59651786556744e-30,"Il1b"
3070.1550261089,5.17567264314766,0.451259855870938,11.4693841603937,1.87992363974439e-30,1.87362036636407e-27,"Socs3"
1969.50577919867,-1.68438252316041,0.152549894449227,-11.0415187715585,2.40925988005073e-28,2.26778278598331e-25,"Cxadr"
685.709146865454,5.82060833466361,0.544002996552947,10.6995887367269,1.02230935630578e-26,9.11630917046785e-24,"Wfdc18"
250.892833064926,-2.72516029377825,0.256488742617066,-10.6248729124415,2.28322946060534e-26,1.93423783755181e-23,"Hunk"
708.603110123552,10.3099997845892,0.974721076379421,10.5773846841247,3.79400754249111e-26,3.061041418687e-23,"Cxcl2"
187.318043895563,3.59980254137781,0.341821753278625,10.5312271874153,6.20205896796474e-26,4.77643114064666e-23,"Cyp4f18"
310.451440457012,7.35366276058535,0.706139740611909,10.4138916671267,2.14278859554492e-25,1.57848987714424e-22,"Il1r2"
133.046820150384,4.79136213437166,0.460400222687665,10.4069500800874,2.3048784100612e-25,1.62714812090279e-22,"Fcrl1"
145.638635479682,-4.38048650251946,0.421334995172578,-10.3966832869537,2.56713576554212e-25,1.73979925102321e-22,"Sstr1"
182.694542163899,5.31698832945821,0.511774314736101,10.3893223562811,2.77316335919711e-25,1.80714256903372e-22,"Krt36"
553.325257506115,12.0041450021421,1.16218776558372,10.3289204701901,5.21441041312704e-25,3.27213909739301e-22,"Retnlg"
3995.3366940179,-3.63272664920034,0.356281454416317,-10.1962271798618,2.06124667115254e-24,1.24727508390491e-21,"Abcb1a"
167.579469952377,4.07044341456361,0.399393571702977,10.1915596618334,2.16266361931877e-24,1.2635175759351e-21,"Wfdc17"
2314.56772565007,3.74195479328838,0.367647852986234,10.1780950518117,2.48375873753098e-24,1.40274414299958e-21,"Ly6c1"
690.121375711821,2.77364108582946,0.273911630808904,10.126043489422,4.23437743147359e-24,2.31429215553087e-21,"Slc16a3"
782.434650540296,5.27051681046036,0.52072705831475,10.1214575396131,4.43757419991823e-24,2.34955686466296e-21,"Ighd"
1853.04981460134,6.49304518922117,0.643259005502936,10.093982569501,5.87369918202382e-24,3.01569955275847e-21,"Pla2g2a"
125.533132805719,-5.03793299169681,0.500783215201632,-10.0601075251062,8.2907746634873e-24,4.13148809186663e-21,"Fndc5"
2878.10645337512,-1.72051036366357,0.173742684129558,-9.90263487802805,4.05449569028989e-23,1.96272344230233e-20,"2900026A02Rik"
71.7586787501635,3.31210707398969,0.336332569918186,9.84771434653315,7.01204245709569e-23,3.30013987084923e-20,"Slc4a11"
1488.26565827768,1.85383268900437,0.188330768013085,9.84349349053558,7.31265334289864e-23,3.34860231320896e-20,"Apobec3"
552.754379496643,3.34579861979974,0.345370571305904,9.68756141308947,3.40562822393177e-22,1.51846207889674e-19,"Ier3"
1814.15524602439,-3.29652959547495,0.340736642274093,-9.67471409436261,3.86169503807249e-22,1.67765894948878e-19,"Ces2c"
41710.0474993012,-4.75452610781127,0.492799374854408,-9.64799541236418,5.01259674848144e-22,2.12321066773803e-19,"Clca1"
458.400855981669,4.00928472288252,0.416275763985355,9.63131911523818,5.89675662368874e-22,2.4367987189063e-19,"Plaur"
1032.66811317414,6.26155421118246,0.650730934840291,9.62233985805398,6.43503875584767e-22,2.59592527715064e-19,"Lcn2"
208.284249481527,7.40366661576056,0.773756488443373,9.56847112281424,1.08498194443585e-21,4.27508118245969e-19,"Ltf"
311.57902721275,-2.17893315392878,0.227998765788403,-9.55677609216081,1.21482024909479e-21,4.67788624554842e-19,"Ehhadh"
1235.22591831543,3.26637801295523,0.34255608364603,9.53530872430935,1.49440256379956e-21,5.62659169743467e-19,"Coro1a"
105.572252211711,5.53834987029435,0.581680330376941,9.52129474054139,1.71034652675161e-21,6.299652435381e-19,"Gm19951"
2470.96508312122,-2.90977541749991,0.307095283505336,-9.47515502122439,2.66364900799698e-21,9.60217130691336e-19,"Ano1"
823.879243051716,-2.67197377956496,0.284088431673761,-9.40542972419722,5.18180256812892e-21,1.82906835232934e-18,"Slc4a4"
201.489763274458,7.3591690131916,0.784485477546308,9.38088622903436,6.5420508100186e-21,2.26208095661521e-18,"Ccl7"
508.099434181093,11.8809329394323,1.26809914736555,9.36908834306424,7.31617052173305e-21,2.47915754299446e-18,"Acod1"
712.794393223748,-1.42077249645225,0.151925765313627,-9.35175474363604,8.62054744403797e-21,2.86388108518304e-18,"Fam174b"
3985.5235205847,-1.96848202813702,0.210972662341574,-9.33050759415434,1.05365082810549e-20,3.43307807319064e-18,"Pmp22"
73.3521412454075,3.76587690223053,0.404052295653047,9.32027102121509,1.16043501182778e-20,3.70966988781095e-18,"Haao"
1796.44255672988,2.21351161010155,0.237991663377782,9.30079473661173,1.39399774583985e-20,4.37379700143789e-18,"Bcl3"
370.582978056933,-2.37327212384278,0.256535100641088,-9.25125691537693,2.21868072737921e-20,6.83474682981564e-18,"Atp8a2"
2050.75797828845,-2.19702071088867,0.237581165343405,-9.24745321335995,2.29905159208391e-20,6.9558627008353e-18,"Aldh1b1"
712.388691117877,4.18022523145879,0.452328903522693,9.24156117131498,2.4292655199925e-20,7.22088521144436e-18,"Aldh1a3"
101.940001723554,-3.22992196861256,0.350874441836215,-9.20534978754667,3.40560212225742e-20,9.94846840644957e-18,"Lgr5"
2264.24885462973,-1.94372155456596,0.211734927434381,-9.17997601112996,4.31187475508201e-20,1.19296209625453e-17,"Foxo3"
1635.77863304926,-1.81741110684161,0.197923904389672,-9.18237295513076,4.2169444876573e-20,1.19296209625453e-17,"Mgat3"
885.9045810255,-1.96803112760547,0.214414090553026,-9.17864643377421,4.36544000282009e-20,1.19296209625453e-17,"Chpt1"
328.338855572884,-2.60127323529227,0.28333522309262,-9.18090312563058,4.27490870404668e-20,1.19296209625453e-17,"Reps2"
907.199808441272,-1.73226184530665,0.189640371279043,-9.13445714972653,6.57357376883006e-20,1.74025094320762e-17,"Cobl"
148.43629385302,7.78494170543892,0.852231524599509,9.13477321681723,6.55440058165741e-20,1.74025094320762e-17,"Osm"
434.299025667351,4.39819960498182,0.483397050465863,9.09852387544185,9.156783427144e-20,2.35065729706213e-17,"Cd22"
283.175987662502,3.02611741232141,0.332559669750197,9.09947202736424,9.07720116924508e-20,2.35065729706213e-17,"Acap1"
369.819360160065,10.7021678013845,1.17651082411922,9.09653152523826,9.32626324484962e-20,2.35843101727593e-17,"Krt90"
316.161512395407,6.39754171785853,0.705923133249715,9.06266053133501,1.27306741216046e-19,3.17199723003451e-17,"Hdc"
146.905596682911,3.68032925430328,0.40815107568063,9.01707596425168,1.93176463091374e-19,4.74346204950312e-17,"Il21r"
425.01676201567,-1.86452009663624,0.207155315721817,-9.00059016173184,2.24507552084781e-19,5.43404493567492e-17,"Aldh6a1"
155.215143803613,10.8924390793087,1.22017302668944,8.92696268566273,4.37865037475372e-19,1.04489399013313e-16,"Cxcl3"
1112.88295823998,-4.61506208863226,0.518087354517237,-8.90788406316663,5.20157501555449e-19,1.22403174289638e-16,"Nxpe2"
211.108322761941,3.27080974663508,0.372690940722772,8.77619869238541,1.69092974851304e-18,3.92457845603512e-16,"Cd72"
